0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,7,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,2,2,2,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,2,2,2,6,7,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
0,0,0,0,0,0,0,1,3,4,2,3,4,1,1,1,1,1,1,1,1,3,4,2,3,4,3,4,3,4
0,0,1,1,1,1,1,1,6,7,2,6,7,1,1,1,1,1,1,1,1,6,7,2,6,7,6,7,6,7
0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,1,1,2,1,1,1,3,4,3,4,3,4,1,1,1,1,1,3,4,1,3,4,2,2,2,2,3,4
2,2,2,2,2,1,1,1,6,7,6,7,6,7,1,1,1,1,1,6,7,1,6,7,2,3,4,1,6,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,7,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
